site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
HAKA 13MAR17 2013.2074 56368 1732 0   93.6    459  0.182809   2504056  0.750745  1832  0.696975  0.0000 0.001199 0.001082 0.004691  0.029077 -0.174272  0.057766  22.6344564548 -266.3955330900  1832.69698
HAKA 13MAR18 2013.2101 56369 1732 1   93.6    459  0.184225   2504056  0.747511  1832  0.703003  0.0000 0.001244 0.001146 0.004958  0.019505 -0.156606  0.113259  22.6344564256 -266.3955330762  1832.70300
HAKA 13MAR19 2013.2129 56370 1732 2   93.6    459  0.181536   2504056  0.746642  1832  0.708337  0.0000 0.001189 0.001119 0.004733  0.020674 -0.185638  0.100946  22.6344564178 -266.3955331023  1832.70834
HAKA 13MAR20 2013.2156 56371 1732 3   93.6    459  0.181535   2504056  0.748206  1832  0.703201  0.0000 0.001182 0.001082 0.004616  0.029555 -0.157738  0.060229  22.6344564319 -266.3955331023  1832.70320
HAKA 13MAR21 2013.2183 56372 1732 4   93.6    459  0.181320   2504056  0.747906  1832  0.717181  0.0000 0.001195 0.001079 0.004669  0.024622 -0.186013  0.040050  22.6344564292 -266.3955331044  1832.71718
HAKA 13MAR22 2013.2211 56373 1732 5   93.6    459  0.181423   2504056  0.748046  1832  0.725821  0.0000 0.001243 0.001183 0.004989  0.016551 -0.137302  0.122400  22.6344564304 -266.3955331034  1832.72582
HAKA 13MAR23 2013.2238 56374 1732 6   93.6    459  0.183884   2504056  0.748852  1832  0.711428  0.0000 0.001193 0.001078 0.004578  0.005691 -0.151974  0.041254  22.6344564377 -266.3955330795  1832.71143
HAKA 13MAR24 2013.2266 56375 1733 0   93.6    459  0.185757   2504056  0.749654  1832  0.720647  0.0000 0.001204 0.001094 0.004684  0.025151 -0.155091  0.038865  22.6344564450 -266.3955330613  1832.72065
HAKA 13MAR25 2013.2293 56376 1733 1   93.6    459  0.185373   2504056  0.753255  1832  0.718848  0.0000 0.001203 0.001129 0.004671 -0.003571 -0.142015  0.072900  22.6344564775 -266.3955330650  1832.71885
HAKA 13MAR26 2013.2320 56377 1733 2   93.6    459  0.181087   2504056  0.754210  1832  0.714722  0.0000 0.001248 0.001170 0.004823  0.006796 -0.149264  0.060929  22.6344564861 -266.3955331067  1832.71472
